testratio1,testratio2,testratio3,testratio4,testratio5,testratio6,testratio7,testratio8,testratio9
"Lyxonic acid-1,4-lactone",1.80269909094,1.29786890401922,1.160303471475,0.489574559533763,1.657344357975,0.971527836568647,2.82651039636667,2.58044936367688
"Malic acid",1.71490483478,0.576493454303434,3.1919430954,3.92944912222006,2.503509291075,0.572176781524595,3.11013401515,2.77790448310113
"Malonic acid",1.083759177975,0.295203742800591,1.12429437422,0.372702104781707,1.4210885967,0.424069148380736,2.54255860013333,1.27452812991427
"Maltose",3.24132702254,4.32909868068792,2.55525563638,3.07058135117516,1.025545779475,0.441779897888495,2.08250045928333,1.27131177040221
"N-Carboxyglycine",2.2766559607,1.19219915720455,19.2504428426,33.0558118298678,33.1161444746,51.2612875515215,8.19928308946667,5.44920712754912
"Nonanoic acid",1.55623174012,0.743023360845317,1.10626774165,0.182602651183276,2.55301453575,1.58832172099572,2.30645663246667,1.36680202044833
"Ornithine",3.10935432638,2.055110148793,5.251008745,5.77279266948872,4.835638566425,4.75788255936976,4.12149445545,1.82928103455613
"Phosphoric acid",5.0568773405,1.27784826751137,3.21164861178,3.52061260625628,5.439315751575,3.76520357786548,5.01939120351667,2.0994946817066
"Phosphoric acid monomethyl ester",4.65732845992,4.60925783755538,9.12053177558,16.2133927568754,1.991844202425,0.541528638044152,3.52596230398333,1.96328859660904
"Proline",7.13444664668,4.3395833039047,9.68388918506,15.3228780645595,2.3791531014,0.530771431515911,3.4340846027,1.13879786610088
"Putrescine",1.41958225608,0.588122654609014,2.50904444476,3.05440977938631,1.739251997125,1.14447531580204,2.3108287949,0.608856990028246
"Pyroglutamic acid",1.034544468,0.332043830713576,1.28651532698,0.613911048586257,2.54651418015,1.56304869097465,2.53900092001667,1.25887515498845
"Pyruvic acid",0.83410612304,0.233689309593156,0.84563132434,0.262907728971189,0.622031793675,0.275890622606871,1.00009919678333,0.472356857309105
"Raffinose",24.2272301759,22.8790036786112,13.67882160536,22.2315705207952,3.745936028025,2.73452741400166,1.89343771928333,2.13607281826914
"Ribonic acid",0.94055838682,0.517868385170568,1.28498929532,0.888547387295633,1.1103185731,0.501126516539511,1.78354511953333,1.56992517910969
"Serine",4.38727587534,3.21253590082736,16.04476176594,34.8501747172875,0.60745137485,0.400737415516828,0.731127168066667,0.669868679440273
"Shikimic acid",0.86101162946,0.286972600470237,1.75222367856,2.01266883888596,1.336513483875,0.206648196538857,2.38450552131667,0.965416069970749
"Sinapic acid, cis-",1.21688741164,0.364919982866339,1.4277036841,1.27740360212231,1.161599471775,0.376129504514205,1.98299268496667,0.571195100789405
"Spermidine",1.18817402254,0.411387240700833,6.36298817692,6.86313577669431,4.99224001655,6.66496015594874,4.45791273961667,2.61994526941306
"Succinic acid",1.29285751482,0.261159843403524,2.57535297574,3.37092478444257,1.92258311795,0.200882846791432,3.11525993435,2.0711911612171
"Sucrose",1.19242265418,0.217175716374532,2.05930332388,1.55475563169025,2.0942595461,0.662980252210837,2.24290852911667,1.08904366471582
"Threonic acid",0.75343005486,0.167047577359623,0.89721522548,0.376552469543673,1.22136642845,0.539174398396627,1.9228969634,0.837165186519074
"Threonic acid-1,4-lactone",2.31261550022,1.30310115317466,1.027768814675,0.299225943804673,2.501073390375,0.504961698486113,4.98808717771667,2.9654100851975
"Threonine",16.6862338934,16.3925733253405,12.44565034518,24.6320796196931,1.616368715875,0.443535481746936,1.50679538961667,0.541686285108877
"Trehalose, alpha,alpha'-",1.62915487198,0.287404532079122,1.88405852478,1.54392870642103,2.179705166675,0.758461479297327,3.34370651615,0.987356820666539
"Tyramine",0.72142606155,0.192249726755367,1.302974955175,0.876127216557851,3.35241707325,3.90722346389607,8.1653605153,5.61626959176092
"Uric acid",1.23687768588,0.290403983406898,1.27810203312,0.931771637933544,1.019335825125,0.310089313177311,0.913855754583333,0.271313408428382
"Valine",1.61926071724,0.336828827799036,3.04249195068,3.75220324255922,2.21890041955,0.60768463161382,1.31428127153333,0.813618408170233
"Xylose",1.00567128678,0.301304161968176,2.02518757914,1.73918264886071,0.981476977825,0.296838874971645,0.893527244983333,0.31440039503177
"beta-D-Galactopyranoside, 1-isopropyl-, 1-thio-",1.8592928005,0.525822484746531,2.43040753394,2.09212416962464,2.084755323625,1.73309387989066,3.67774801728333,2.85468657054652
