testratio1,testratio2,testratio3,testratio4,testratio5,testratio6,testratio7,testratio8,testratio9
"Galactonic acid",0.73750570952,0.0869633615034968,0.89185087418,0.384841547676091,0.65096027875,0.18951290461048,0.591477391066667,0.242377994624116
"Glucose",0.86979310424,0.326090963016621,1.1772731785,1.46389319483567,0.2766710689,0.161986392854892,0.514529981816667,0.680613916477256
"Glucose, 1,6-anhydro-, beta-",1.2604074048,0.523528641789796,0.91170625062,0.560963497480438,0.708603373025,0.257068298366676,0.789103243083333,0.187444627825443
"Glucose-6-phosphate",0.58457172342,0.0771321101667113,0.79132432886,0.492903103365871,0.512253288175,0.161078338298708,0.344134019933333,0.0903859547865609
"Glutamic acid",0.32003894452,0.355370653695459,1.05099868972,1.40299832568947,0.669418342425,0.430134164613828,0.188593351833333,0.190225449729948
"Glutamine",0.78822883385,0.428904546059547,1.35241926172,2.03173341247713,0.2699456336,0.226316832928573,0.169425119033333,0.283630576939113
"Glutaric acid, 2-oxo-",0.61724380634,0.15988756326288,0.86868666175,0.515505541477676,0.633667428475,0.110014498941527,0.371633879216667,0.238799028653181
"Glyceric acid",0.9158826709,0.229559030198576,0.63795276154,0.443966552693014,0.8817192672,0.313658064812545,0.733534957533333,0.110661575032824
"Glycerol-3-phosphate",0.46448682916,0.127945387284608,0.90687973662,0.522579076545034,0.67206903085,0.177548358710681,0.490619082683333,0.18157983617325
"Glycerophosphoglycerol",0.40342705656,0.106140526470606,0.7469603841,0.514367376759241,0.55447739475,0.232958466350464,0.514303900066667,0.157593072786547
"Glycine",0.73103310442,0.228569819661492,0.57456817512,0.689578968954763,0.23608004595,0.235699846540781,0.230431399533333,0.0905748032665966
"Inositol, myo-",0.35868392444,0.130616708807382,0.73356686408,0.366689813422044,0.7204060236,0.320824039353945,0.891614541316667,0.308544107672299
"Lyxonic acid",1.01367308542,0.519128270853722,0.94314094198,0.632947553927152,0.815296646425,0.343585576879226,0.5570386663,0.307574739833313
"Lyxonic acid-1,4-lactone",1.03578044072,0.882000205435639,1.092293715,0.741512322729539,0.80169126975,0.455842128566466,0.626099283966667,0.493233124692097
"Malic acid",0.64816019622,0.246978394496055,0.69909852104,0.494234107415858,0.416251584225,0.0992344679717783,0.452025936333333,0.189267827836113
"Malonic acid",0.98502550865,0.310990816768641,0.96225813388,0.278418269463256,0.7460529015,0.191770180496218,0.463277867633333,0.171318577123619
"Maltose",0.95727795906,1.00053713928006,1.11790553456,1.14236408260655,1.101587510725,0.402512771810331,0.649919598033333,0.392350079848998
"N-Carboxyglycine",0.7761362382,0.882939075398923,1.52277648458,2.38367184150766,0.582851591975,0.905128013926001,0.153202194616667,0.0609633569612913
"Nonanoic acid",0.73589113678,0.258888378893015,0.9219852268,0.146821375867967,0.52528810165,0.295522140673714,0.5843583675,0.32701400369107
"Ornithine",0.45267497656,0.291908601689295,0.70478746386,0.804333441232029,0.354060233125,0.223053410858507,0.309355741816667,0.192946064001618
"Phosphoric acid",0.20821557908,0.0526302592851221,0.5324936342,0.277589240512008,0.293830918875,0.219720637569903,0.227489142466667,0.0857521922272104
"Phosphoric acid monomethyl ester",0.45229213552,0.392006521138099,0.52189805914,0.419712894601892,0.529727150625,0.136864070245405,0.354697793583333,0.161114726373495
"Proline",0.1779288232,0.0882940420696789,0.3904707435,0.347735299744639,0.4365935684,0.0979962240056351,0.328014697033333,0.135016629271385
"Putrescine",0.79081797548,0.272252324670976,0.82647699764,0.508497446242397,0.81038405925,0.558116812211518,0.45383767895,0.0971821715198963
"Pyroglutamic acid",1.05492339682,0.348886744857437,0.96110861318,0.544851116202706,0.505893121325,0.260826611111059,0.473244061666667,0.197910039509769
"Pyruvic acid",1.279279448,0.367240856811724,1.26822214036,0.35393637142481,1.834536780425,0.702951084105775,1.2189666146,0.593758561516259
"Raffinose",0.07682168875,0.0575562805170287,0.32297757348,0.285190035234427,0.4751462218,0.413121181303613,1.11281646085,0.744313207443635
"Ribonic acid",1.29179679758,0.547848935310308,1.1280670341,0.722458437269221,1.019268791,0.363701291559575,0.8140186018,0.373479115505179
"Serine",0.40666510538,0.328612021221557,4.1110733534,4.80765744787716,3.015860470925,3.10349659911332,2.49701688481667,1.68875978291663
"Shikimic acid",1.25310123814,0.350832344280982,1.0076369836,0.522858134257242,0.7622047987,0.121417340868676,0.46631041285,0.150687325340889
"Sinapic acid, cis-",0.8789641416,0.240875723415929,1.15746976284,0.810332039983962,0.93575325735,0.311611741268501,0.545401727716667,0.174747685396492
"Spermidine",0.9081039862,0.24740708682856,1.26484830686,2.0791754393708,0.9939806996,1.36571584345835,0.441753928733333,0.533413531348311
"Succinic acid",0.8060802991,0.203826819446869,1.05484890092,0.960416005326495,0.524506903675,0.0558895774220258,0.45263607315,0.254166368680719
"Sucrose",0.85876920882,0.139186085476837,0.69702167484,0.418038802576341,0.5093983122,0.136356997829549,0.528722883666667,0.216974638816907
"Threonic acid",1.38031148984,0.303962982895013,1.41172797832,0.948444125712633,0.966876752775,0.476861053134478,0.5993451533,0.227071629317598
"Threonic acid-1,4-lactone",0.52181601886,0.210396653275988,1.049472580275,0.357046213611823,0.41109576515,0.0748306501646574,0.274761172916667,0.170345347019596
"Threonine",0.234132571525,0.282367497313229,0.71785153092,0.514371609228296,0.6555073017,0.181957776815957,0.767892226833333,0.377746369397494
"Trehalose, alpha,alpha'-",0.62890423564,0.107748455686756,0.852838964,0.65845694711972,0.493889529425,0.136062859166804,0.328289382283333,0.123110144242805
"Tyramine",1.45648813105,0.359123770332211,1.175937350175,0.834065162143634,0.56649483435,0.31087682382647,0.3715439402,0.545366427227967
"Uric acid",0.84096822104,0.176089048621834,1.05331656914,0.498510783679944,1.064409385375,0.371215529107001,1.22424741993333,0.544119293605748
"Valine",0.63846163432,0.128489422521918,0.68951276192,0.488563602394579,0.472805889225,0.109068160426213,1.07195037015,0.74003332734267
"Xylose",1.05778934522,0.271781960726226,0.7507119554,0.426216088134924,1.1280637837,0.48255628522093,1.34461237308333,0.805951294668693
"beta-D-Galactopyranoside, 1-isopropyl-, 1-thio-",0.58545846654,0.216987914891001,0.65282799238,0.46041622246283,0.676356473175,0.323853275119434,0.3879914597,0.203160740751047
