testratio1,testratio2,testratio3,testratio4,testratio5,testratio6,testratio7,testratio8,testratio9
"Ornithine",4.19363861266667,1.97159981053722,8.08876101323333,6.01614491129956,7.74202277885,5.83009772559713,5.30459538623333,1.0900347703148
"Phosphoric acid",4.97612910863333,0.837052211897619,4.15172251316667,4.61818023479285,8.67346145855,0.554314978272841,5.1169526162,0.808498908857616
"Phosphoric acid monomethyl ester",1.86587680333333,1.02935906324171,14.2390950820667,20.6675924938038,1.8497747771,0.487195811532056,2.02794470426667,0.139661349423213
"Proline",9.14434568,4.65898735043724,15.1118836228333,18.9439334576073,2.2271737023,0.584334037225127,3.33144418843333,1.01606481583387
"Putrescine",1.55215558473333,0.715110131092398,3.25255959643333,4.02003339533916,1.9817321321,1.92193068905313,2.65511519613333,0.742705469216471
"Pyroglutamic acid",0.885510026733333,0.317738439672271,1.37272070246667,0.846532509049342,2.1074421981,0.76855339611943,2.80714058473333,1.52004010215868
"Pyruvic acid",0.935104787666667,0.233498630615807,0.775307419033333,0.157033129333297,0.52074593065,0.18495349900413,1.233415972,0.461052893829993
"Raffinose",40.1055683805,23.6152157163299,21.7313435449333,27.3005244573492,1.42370550185,0.651420106277384,0.618463165366667,0.15849804157812
"Ribonic acid",1.1831917273,0.558327044368118,1.4360537633,1.05915546065174,0.8374617266,0.193627161049498,1.29764957193333,0.575454038492792
"Serine",6.43696941803333,2.20993643104763,26.3694903429333,45.0455000747023,0.6437749365,0.300840128478246,0.6396044456,0.549183639802734
"Shikimic acid",0.674613597233333,0.0571711309511322,2.4123646239,2.53846344128874,1.2497818077,0.228851282444862,1.9331121049,0.456058175360135
"Sinapic acid, cis-",1.14583920346667,0.300442291654845,1.7752492296,1.60142330934237,1.4771052125,0.116889497455116,2.3291554931,0.429057828458668
"Spermidine",1.01219476576667,0.171660342994034,9.48439279543333,7.44873283578776,7.59468157965,10.2723776903417,6.02069069533333,1.70568760457287
"Succinic acid",1.2586523821,0.353317682137535,3.90275865173333,4.00981230579119,1.8704074096,0.257608437574782,1.57322711013333,0.371146421362429
"Sucrose",1.2177807887,0.285579044130584,2.7647873669,1.70420675257818,1.81470544425,0.356647494352721,2.2227905406,0.670270186401146
"Threonic acid",0.709472655033333,0.141892510302562,0.942480648833333,0.146451981132519,0.83156110685,0.309892362483496,1.4807753955,0.473767655260703
"Threonic acid-1,4-lactone",2.50312073556667,1.76490442169758,1.1419792255,0.267877997693856,2.86930466395,0.470312999957307,4.82985382613333,4.40982839290989
"Threonine",21.7213054433333,15.8418123099067,19.4969771241,32.0296174206599,1.2680921134,0.188498615833294,1.54402725556667,0.82727179147766
"Trehalose, alpha,alpha'-",1.8116231284,0.200469228156057,2.45476594516667,1.80992815801581,2.66785165195,0.876984117320183,3.2826760988,1.28952798748399
"Tyramine",0.6333102668,0.094093445306914,1.1931712378,1.03767295042589,5.23192741505,5.62710763128755,10.6336421346,3.01820253012318
"Uric acid",1.3147175233,0.381664568711238,1.47152764493333,1.21580801254689,0.7674650761,0.185193004768332,0.7964031953,0.359945307792501
"Valine",1.74995088406667,0.34276837900076,4.269607576,4.71657831750998,1.87452420925,0.226995368762635,0.8876057744,0.417357344489093
"Xylose",1.0910342338,0.360542344771433,2.4466526181,2.2441511163458,0.80549798885,0.374787265659222,1.0326565661,0.117648109216173
"beta-D-Galactopyranoside, 1-isopropyl-, 1-thio-",2.1687913831,0.264417425216804,3.27777976473333,2.42015160075646,2.85985470145,2.56756780115085,3.06443062713333,1.32537220805624
